invoice_no,found,customer,branch,billing_month,amount,paid_amount,balance_hint,date_received,received_by,receipt_source,schedule_count,history_count,payment_count
130496,false,,,,0,0,0,,,,0,0,0
130497,true,China Bank Savings Inc.,China Bank Savings Inc- COG BSOMD,April 2026,840,0,840,,,,0,0,0
130498,true,Metro Antipolo Hospital and Medical,Metro Antipolo Hospital and Medical - Medical Records,May 2026,1980.55,1980.55,0,,,,0,0,1
130499,true,Asian Security & Investigation Agency Inc,Asian Security & Investigation Agency Inc,April 2026,1100,1100,0,2026-06-22,,tbl_schedule.field_billing_*,1,2,1
130500,true,China Bank Savings Inc.,"China Bank Savings Inc- Disbursement Department, General Accounting Division",April 2026,4906.72,4906.72,0,,,,0,0,1
130501,true,China Bank Savings Inc.,"China Bank Savings Inc- Recon, General Accounting Division",April 2026,2000.32,2000.32,0,,,,0,0,1
130502,false,,,,0,0,0,,,,0,0,0
130503,true,China Bank Savings Inc.,China Bank Savings Inc- Auto Loan 03120,April 2026,11200,0,11200,,,,0,0,0
130504,true,INTEGRATED SECURITY AND AUTOMATION INC.,INTEGRATED SECURITY AND AUTOMATION INC.,April 2026,3250,1625,1625,,,,0,3,1
130505,true,China Bank Savings Inc.,China Bank Savings Inc- Channels Operations Department,April 2026,2690.24,2690.24,0,,,,0,0,2
